chain,type,txid,from,to,value,token,timestamp,service,wallet
tron,TRC20,343590538eec6430dce09dee43123b18aaad85427ae4ee8aa5cf3d45a7e9ec08,TP8hpqqbNiRsBCXQkYjw6CgGc7RxdrRjoG,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,2.150346,WIN,1590640920000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,2a2011f5d7acbee3e943610442cecf0187bbb533df0ae6f19287ea2516a77089,TTfbChnkKK9e4gQKvQ1Nrop2PvmXGfRqhk,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,11.806161833926309,JST,1592640723000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,2dc3e6b22ac36637954b3e0f948bdeb8fb8c9635919d6b5278afa3c9e3c2ca85,TCzY7unRTeKy3DNVLn6GYUBEi6x7EcDDe9,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,610.003758,WIN,1593321849000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,244c68059ae8e641b7288a0162fc7c717abd2f22d7d49cd99c6f0fe762184b1f,TV9d9EQrubrSvFd7orxuVRDF14an37PbUn,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,20.99411748483497,JST,1595214534000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,9e52a556288d19cfd34fcfa06063c053e90e7ca0572b7ee0894c2ea697f8d5cc,THYSvnLm7pKNBBb313okTemVLPvWpAijhq,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,735.934421,WIN,1595908545000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,e2e1bd197be6e321506859f02241cafcb205fc9dbb77bfb7f3ec5b004ca400ab,TAUN6FwrnwwmaEqYcckffC7wYmbaS6cBiX,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,10.0,USDT,1599162297000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,a8945ecef266cb0979fadb1a461eaa6ecea959564113ffc22e99acc2423133c5,TE3oF1Nj4ERP45kPd7dqj1uRFZm6EJWcQX,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,1.024e-07,ANB,1603502244000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,174f6dcb2f815a0ae3504273b3c7eb846dfd871f1f98760a24fa929f0f6377fe,TBrDhenBz9XtXVERcLEb48W8AHNPD4aWHi,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,1e-06,BH,1610076453000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,fb1658c8389f3cb6cd685e3d27ebe9e64b594c6692ff15ee9cb3bb5215a4d789,TAUN6FwrnwwmaEqYcckffC7wYmbaS6cBiX,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,20.0,USDT,1612464393000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
tron,TRC20,21a9f762bd03c5de6f81aed39127a32bc1c6e680a6cf61c17c29b19ead19c1d3,TAUN6FwrnwwmaEqYcckffC7wYmbaS6cBiX,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,10.0,USDT,1612467636000,fixedfloat,TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf
