chain,type,txid,from,to,value,token,timestamp,service,wallet
tron,TRC20,6d69f25c7bde5bdd66b04c3e6eb385b2cc57ca1f29c58b6fc3e422509b5a6a36,TQediuuWLKMUcoQmVR3uLNJWj5k55LrhDn,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,56031.0,USDT,1684150941000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,f70ad1fee4d8da4f5c7dfa05ce083522000daa21ae00bffc55eb6d3c035b9aba,TQediuuWLKMUcoQmVR3uLNJWj5k55LrhDn,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,34254.0,USDDOLD,1684151004000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,0eea3b379a5057bae20036656e3b459ec38205f44edbb3c9e1b67da1468468ce,TQediuuWLKMUcoQmVR3uLNJWj5k55LrhDn,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,33143.0,USDCOLD,1684151037000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,f023976f62b1d2778e9592c59dda2ea35d5f59d2edaf58e88aab2e0a8c822212,TY4kxA83tbPT5Rec7tCThQBrZKrtXt2JyQ,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,25.0,USDT,1684235673000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,7d1e8784e4886ead4ea709b39feed849ad263eb73f90e0c0f9aa527e61595a1c,TT9yiAtXKwW5bYnmbcouWaioc55DY4qz76,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,35.0,USDT,1684235973000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,bbd1faea1679992c690bdc28eb47c69758b68af8c1022b9a87ea283708122c1f,TZ6gw2WVTebj7NeLqFyKCVHiL32vQNw7hd,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,63.0,USDT,1684237296000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,bf2b75897e0e9937f8213a36769e09c8012cc0ea927026df082d66a6d7412eee,TPLJCzztipqiyEfLMYqSFjvueoDum4sJr1,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,30.0,USDT,1684239207000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,5cd7d12537071cc97d3468d0cf5034995d00cecb806e570dfc6d874c06ca6a8d,TCRC88U1YJm7fLeZGML2zm3nssos7QEKDU,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,34.0,USDT,1684242117000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,1421e711f5750575ff9bbeb31a3e440d57c2c67413dbc0835e34ddeeedcc2b37,TUnyJUujzVZAopBRN1TkQLi675MCQaL9sQ,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,1500.0,USDT,1684242441000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
tron,TRC20,49746177064cd07deb4bad1186723d503ff0b4a7764bc67fb2c67c638fb40a47,TKCsF24jmFSrLXGZ9diic9oJafAVNXYAnB,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr,240.82442,USDT,1684244985000,sideshift,TBEkD71bkL7fNz2HuCeisRbtvwwT2JWaMr
